model,MAE,RMSE,MAPE_pct,peak_MAE,imbalance_$_per_interval
Grid VIC | Persistence (t-1),173.6168839328537,221.74985331988583,3.895244557017573,241.96538793103446,5623.926708201439
Grid VIC | Seasonal naive (t-48),535.9386575539568,755.3112386040375,13.034294663784948,518.314132183908,14389.76212527318
Grid VIC | Gradient boosting,76.08520883535911,112.17805309620685,1.8353709463127093,82.29079006666929,2123.635385599367
Grid VIC | MLP,91.0895909762709,124.71660786920667,2.152889011615737,91.36602363430055,2674.0408315595187
Household | Persistence (t-1),0.34681125730870505,0.5604288900642385,40.30670308868778,,
Household | Seasonal naive (t-48),0.5898068304147954,0.88058579257204,77.5174396426287,,
Household | Gradient boosting,0.30884539005409356,0.4775327928905582,39.91495029451425,,
Household | MLP,0.3231443613043048,0.48959976696960505,41.50145396244898,,
